OTU,X9P246R1D4,X9P246R1Dm3,X9P247R1Dm3,X9P248R1Dm3,X9P249R1Dm3,X9P250R1D0,X9P250R1D4,X9P250R1Dm3,X9P251R1D7,X9P251R1Dm3,X9P252R1Dm3,X9P253R1D7,X9P253R1Dm3,X9P254R1Dm3,X9P255R1D0,X9P255R1D7,X9P255R1Dm3,X9P257R1D0,X9P257R1D4,X9P257R1Dm3,X9P258R1D0,X9P258R1D4,X9P258R1Dm3,X9P259R1D0,X9P259R1D4,X9P259R1Dm3,X9P261R1D0,X9P261R1D7,X9P261R1Dm3,X9P262R1D7,X9P262R1Dm3,X9P263R1D0,X9P263R1D7,X9P263R1Dm3,X9P264R1D0,X9P264R1D7,X9P264R1Dm3,X9P265R1D0,X9P265R1D7,X9P265R1Dm3,X9P266R2D4,X9P266R2Dm3,X9P267R2D0,X9P267R2D4,X9P267R2Dm3,X9P268R2Dm3,X9P269R2D0,X9P269R2D4,X9P269R2Dm3,X9P270R2Dm3,X9P271R2D7,X9P271R2Dm3,X9P272R2D7,X9P272R2Dm3,X9P273R2D7,X9P273R2Dm3,X9P274R2D7,X9P274R2Dm3,X9P275R2D7,X9P275R2Dm3,X9P276R2Dm3,X9P277R2Dm3,X9P278R2D0,X9P278R2D4,X9P278R2Dm3,X9P279R2Dm3,X9P280R2D0,X9P280R2Dm3,X9P281R2D7,X9P281R2Dm3,X9P282R2D7,X9P282R2Dm3,X9P283R2D7,X9P283R2Dm3,X9P284R2D0,X9P284R2D7,X9P284R2Dm3,X9P285R2D7,X9P285R2Dm3,X9P286R3D0,X9P286R3D4,X9P286R3Dm3,X9P287R3Dm3,X9P288R3Dm3,X9P289R3D4,X9P289R3Dm3,X9P290R3D0,X9P290R3D4,X9P290R3Dm3,X9P291R3D0,X9P291R3D7,X9P291R3Dminus3,X9P292R3D7,X9P292R3Dm3,X9P293R3D0,X9P293R3D7,X9P293R3Dm3,X9P294R3D7,X9P294R3Dm3,X9P295R3D0,X9P295R3D7,X9P295R3Dm3,X9P296R3D0,X9P296R3D4,X9P296R3Dm3,X9P297R3D0,X9P297R3D4,X9P297R3Dminus3,X9P298R3D4,X9P299R3D0,X9P299R3D4,X9P299R3Dm3,X9P300R3D0,X9P300R3Dm3,X9P301R3D0,X9P301R3D7,X9P301R3Dm3,X9P302R3D0,X9P302R3D7,X9P302R3Dm3,X9P303R3D7,X9P303R3Dminus3,X9P304R3D0,X9P304R3D7,X9P304R3Dm3,X9P305R3D0,X9P305R3D7,X9P305R3Dm3,X9P306R4D4,X9P306R4Dm3,X9P307R4Dm3,X9P308R4D0,X9P308R4Dm3,X9P309R4D0,X9P309R4D4,X9P309R4Dminus3,X9P310R4D0,X9P310R4Dm3,X9P311R4D7,X9P311R4Dm3,X9P312R4D7,X9P312R4Dm3,X9P313R4D7,X9P313R4Dm3,X9P314R4D7,X9P315R4D7,X9P316R4D4,X9P316R4Dm3,X9P317R4D0,X9P317R4D4,X9P317R4Dm3,X9P318R4D4,X9P319R4D4,X9P319R4Dm3,X9P320R4D0,X9P320R4Dm3,X9P321R4D7,X9P321R4Dm3,X9P322R4D0,X9P322R4D7,X9P322R4Dm3,X9P323R4D7,X9P323R4Dm3,X9P324R4D0,X9P324R4D7,X9P324R4Dm3,X9P325R4D7,X9P325R4Dm3,Taxonomy
Otu0001,17,396,0,8,156,71,58,137,13,77,80,247,107,7,19,93,10,49,157,283,80,264,196,2,83,64,12,38,298,78,5,1,360,83,9,35,364,67,81,101,205,45,2,48,54,136,183,194,26,96,187,72,210,101,30,86,36,83,128,18,3,193,105,46,137,91,92,191,65,236,163,117,251,187,98,36,118,283,18,15,58,150,0,195,55,84,1,18,156,56,173,162,182,21,20,183,188,234,213,18,57,108,1,159,273,17,181,2,253,23,482,75,41,178,108,169,126,143,59,31,226,86,74,194,189,63,204,7,17,148,0,88,25,31,77,246,24,37,147,9,440,246,91,26,296,293,136,21,12,5,92,289,91,50,309,156,233,26,16,485,78,24,1,47,136,43,53,1,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;
Otu0002,114,236,27,196,91,140,39,159,14,32,107,91,69,45,24,70,203,96,182,86,50,163,116,26,81,55,475,115,135,37,37,58,134,92,20,105,138,265,95,174,104,69,30,7,37,51,127,99,80,291,47,227,98,112,14,93,188,99,104,81,23,59,52,214,156,16,61,125,42,176,60,324,48,242,192,90,35,22,39,194,97,326,17,140,214,91,80,94,44,109,109,54,133,43,14,63,174,116,352,68,35,278,11,228,78,192,74,7,201,58,23,301,250,149,121,38,91,60,75,50,182,173,248,250,334,183,250,90,81,89,6,45,72,651,207,24,64,165,158,90,141,348,30,12,58,152,254,7,45,107,173,170,265,81,126,285,69,34,21,74,52,11,54,34,38,93,48,2,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;
Otu0003,115,4,0,1,45,48,707,1,64,35,24,118,23,19,131,221,27,191,358,39,718,212,90,484,299,9,301,87,6,50,1,6,8,1,1020,336,1,261,200,109,108,39,2,0,0,5,23,174,1,0,67,15,97,0,533,0,255,1,350,0,1,0,377,442,53,5,350,0,46,3,27,0,20,0,107,134,20,10,0,12,132,7,0,12,68,9,678,599,0,223,113,68,98,132,72,57,67,25,0,0,11,0,765,54,1,726,89,0,6,57,0,12,335,31,28,16,0,72,68,2,35,1,61,153,1,389,4,90,746,28,0,4,0,105,19,0,459,62,62,0,17,1,149,9,223,204,70,1,241,517,50,133,129,25,9,148,72,41,864,14,50,95,32,14,120,52,33,0,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonellaceae_unclassified;
Otu0004,20,132,3,11,44,94,19,29,281,23,53,90,66,13,12,66,35,48,52,30,4,46,77,32,66,43,48,72,86,201,4,93,111,78,13,126,47,25,43,53,134,27,2,276,6,72,0,55,1,41,16,0,81,76,16,4,36,31,94,18,1,4,2,77,31,20,6,118,130,11,79,28,99,59,4,43,0,143,5,8,44,101,2,0,55,83,7,18,29,18,131,10,45,5,45,94,18,125,27,10,14,56,1,144,41,4,179,169,234,110,180,33,14,67,38,93,45,24,77,13,52,51,66,94,36,38,58,6,78,4,2,58,1,16,129,2,103,9,89,6,172,67,77,2,91,88,110,0,0,5,1,162,32,53,178,22,101,1,14,226,25,259,9,69,93,7,151,1,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
Otu0005,2,40,85,110,57,89,9,78,3,98,71,25,64,64,53,21,73,32,6,59,21,22,36,5,14,90,10,16,4,103,70,40,57,43,0,12,62,6,8,73,0,101,3,5,132,65,17,61,71,94,45,100,34,56,4,45,15,104,14,55,96,79,17,8,76,20,50,84,11,38,56,69,10,56,25,9,45,19,37,26,7,63,100,70,26,30,9,5,19,9,23,8,18,78,78,81,66,39,49,13,52,85,4,22,44,6,0,0,0,47,13,72,5,83,36,45,47,37,42,43,51,24,29,41,70,16,3,74,5,138,40,11,183,2,11,81,25,71,17,81,10,57,42,27,24,29,47,101,1,0,58,8,53,59,4,35,49,90,3,9,39,8,44,35,41,61,38,65,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium;
Otu0006,3,7,0,97,62,63,9,22,1,19,5,17,18,0,191,78,55,43,17,50,17,10,32,36,30,14,27,41,15,31,0,59,45,117,17,10,77,61,26,14,193,1,89,59,73,41,32,165,25,45,58,31,91,107,43,77,133,16,53,5,4,56,51,21,54,16,159,185,38,49,252,11,75,61,41,112,13,35,2,22,16,14,1,17,65,92,10,9,73,47,13,73,8,10,114,16,50,32,25,100,142,123,0,26,71,10,9,50,38,31,14,76,25,34,88,66,78,37,10,35,16,290,58,4,59,41,56,6,11,0,4,75,13,23,65,17,5,3,41,11,26,76,50,2,42,17,30,1,4,11,39,27,17,5,1,24,6,9,2,28,3,10,1,0,7,1,7,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;
Otu0007,44,17,0,16,6,25,4,26,26,15,1,8,21,0,28,25,10,22,7,21,19,24,10,39,12,12,13,34,7,18,0,38,41,28,16,16,20,31,29,0,20,18,38,37,34,9,68,17,47,49,23,49,47,7,1,7,4,9,8,9,5,26,43,30,9,1,18,8,35,11,51,10,36,51,21,27,28,14,6,3,4,15,0,4,40,10,17,13,7,14,31,56,22,4,13,10,15,21,14,32,19,17,29,15,10,18,85,31,36,57,36,13,10,10,23,8,19,27,5,14,36,41,47,15,16,36,12,25,27,23,2,16,6,2,11,5,4,13,35,7,19,8,45,2,8,11,3,12,505,13,22,5,7,2,35,19,16,37,5,6,1,32,2,9,11,12,20,0,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;
Otu0008,1,13,0,8,15,41,5,16,18,4,55,12,8,0,33,4,30,14,5,2,3,9,15,2,5,13,21,40,10,12,17,103,7,89,5,7,46,24,1,9,14,1,25,79,53,16,11,18,3,8,13,31,58,85,1,16,7,16,14,20,4,2,12,9,41,6,41,46,26,25,50,21,24,37,34,9,15,8,3,8,6,11,1,9,62,30,23,6,16,7,42,11,35,0,61,40,11,27,16,41,9,87,5,44,9,14,33,18,20,81,18,43,17,10,124,16,45,27,12,2,15,80,98,31,23,34,24,19,4,7,4,3,21,2,22,16,10,44,15,12,5,15,20,4,18,8,11,0,0,1,3,10,12,6,16,24,11,2,11,9,28,45,15,0,3,20,6,5,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter;
Otu0009,349,5,15,11,13,8,53,29,7,1,1,19,7,20,26,31,8,14,13,16,113,14,7,198,26,12,47,33,5,16,1,6,18,9,29,12,3,8,19,11,27,21,64,0,42,11,15,20,13,14,14,20,2,2,9,17,14,6,59,17,4,27,50,26,9,1,134,16,28,4,13,11,17,4,80,109,14,8,2,15,110,5,0,31,22,5,63,329,2,32,33,42,19,9,31,15,25,12,6,3,21,13,153,47,19,37,35,5,28,16,2,16,50,22,6,9,9,47,19,2,53,12,18,18,21,51,9,13,50,10,14,35,55,101,103,2,7,9,12,17,3,21,13,2,12,6,43,61,26,174,17,22,28,3,25,16,13,50,12,6,1,5,5,9,5,10,1,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;
Otu0010,6,11,0,0,4,21,37,14,25,2,4,22,1,0,57,15,2,4,8,3,0,11,3,4,5,1,5,23,3,14,1,62,22,1,8,59,15,5,6,8,53,10,9,47,7,0,11,13,8,22,56,9,30,3,0,3,29,1,17,5,0,7,2,1,2,1,9,4,73,3,14,6,106,5,5,51,5,9,9,10,2,2,0,3,14,1,3,0,4,10,45,1,12,1,67,38,0,22,3,96,134,2,0,42,2,2,62,144,38,53,29,4,1,1,37,60,7,8,21,0,30,21,22,21,3,14,43,1,6,3,1,8,1,0,13,0,11,3,13,0,18,4,19,4,8,1,1,1,4,13,5,1,0,1,50,11,1,0,1,16,0,20,0,2,18,0,1,2,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;
Otu0011,7,18,2,4,7,10,2,23,54,3,10,4,4,3,17,16,15,5,3,11,1,4,5,17,2,28,2,26,1,48,2,100,15,47,5,54,32,1,2,1,12,8,16,53,16,7,27,27,8,9,38,4,1,35,0,28,0,2,10,19,1,23,0,0,4,4,3,8,9,27,7,28,45,25,6,13,1,137,1,2,3,14,4,15,26,32,6,0,8,14,14,40,1,1,50,29,23,13,20,115,41,23,1,14,27,1,9,158,26,29,14,12,0,25,15,19,12,1,0,7,28,1,1,20,3,2,7,2,5,2,2,24,36,4,29,17,3,2,5,0,19,5,7,2,7,8,3,2,6,19,16,16,6,4,17,13,7,7,10,30,1,32,25,10,3,21,12,4,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
Otu0012,2,76,0,0,25,3,14,5,2,21,8,52,32,3,1,8,0,5,15,20,4,20,28,5,5,13,4,4,20,26,0,1,34,15,0,5,25,9,26,13,7,13,0,1,14,10,2,1,40,28,29,22,25,1,14,4,6,14,6,2,0,0,1,11,29,2,2,5,0,8,25,7,4,12,13,2,26,5,2,1,2,9,0,19,5,16,6,0,1,10,33,3,30,1,1,70,9,39,6,0,19,17,0,12,4,2,4,0,28,3,5,20,18,17,3,88,7,13,10,1,8,23,8,24,16,3,42,3,7,9,0,0,3,3,15,1,1,28,23,1,52,21,15,2,79,69,6,30,0,0,20,6,8,21,0,29,14,33,3,42,26,3,2,5,24,16,15,0,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;
Otu0013,0,0,0,23,2,3,2,1,0,5,19,1,0,1,2,10,12,0,0,6,0,0,9,4,0,71,0,0,4,4,0,20,11,88,10,5,58,1,1,0,9,6,99,24,16,12,52,33,8,15,7,20,0,8,0,59,6,11,6,18,3,41,0,0,0,18,0,1,7,133,6,145,56,34,4,53,1,105,15,1,3,12,0,35,14,16,1,1,74,8,4,33,0,0,2,0,45,10,63,243,38,2,3,29,16,1,23,91,4,3,13,1,0,4,23,47,65,0,1,1,7,5,5,20,7,1,3,3,0,1,54,12,16,1,25,65,2,1,0,1,1,2,2,1,1,0,4,1,31,56,29,2,2,1,5,22,0,1,3,3,0,4,7,1,0,25,0,4,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
Otu0014,11,7,2,7,18,10,2,13,71,1,0,25,9,13,6,14,0,5,4,11,2,2,2,8,9,10,9,35,4,7,0,26,18,9,16,27,8,4,7,10,13,24,31,41,8,16,13,2,8,10,11,6,11,10,4,14,6,13,3,2,7,4,8,15,4,3,30,13,47,15,24,13,6,15,13,17,8,19,2,3,5,7,9,8,18,3,4,12,2,38,27,10,12,18,15,10,1,20,14,35,33,9,9,9,6,1,15,24,19,9,28,7,6,8,18,58,9,9,27,1,35,13,18,15,7,24,16,3,3,11,18,14,15,29,40,23,4,1,15,2,26,10,21,5,8,16,10,1,31,7,0,7,4,3,3,0,3,2,2,3,1,26,6,3,8,3,0,0,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;
Otu0015,10,14,19,32,14,2,7,19,0,13,12,0,3,15,3,0,4,0,12,0,12,3,4,47,15,0,9,2,0,0,0,153,5,0,19,0,0,7,1,2,4,96,38,51,152,1,3,15,1,2,0,1,10,6,3,40,7,5,15,128,1,9,11,9,6,231,10,26,4,18,0,51,2,3,5,11,81,0,20,2,8,1,8,8,3,6,16,14,14,5,1,11,0,1,13,0,33,2,67,1,0,1,23,12,6,8,5,1,2,25,9,0,7,2,0,5,3,18,1,8,5,3,8,1,1,24,0,7,9,5,6,34,1,32,19,0,11,8,1,19,3,3,1,10,0,1,5,0,11,14,25,5,2,7,4,0,1,1,6,0,6,13,14,11,3,3,2,0,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;
Otu0016,1,1,4,157,1,9,3,0,4,71,66,4,14,6,6,2,77,35,4,27,0,1,0,12,3,54,0,8,3,3,0,19,0,1,5,0,8,0,0,0,1,4,24,0,243,164,0,0,6,0,1,19,0,0,0,58,1,11,4,48,49,1,0,0,82,5,21,124,0,49,25,0,0,0,0,0,0,0,3,4,0,0,0,26,0,0,1,0,45,6,3,11,0,0,22,4,41,2,27,45,2,18,40,23,31,12,0,25,0,88,7,0,23,0,32,10,1,1,2,0,1,0,18,3,37,2,0,0,0,13,93,25,17,0,5,0,2,83,10,11,10,0,3,0,4,7,4,3,4,4,52,0,8,20,0,59,0,14,4,5,77,4,53,50,0,41,7,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;
Otu0017,0,1,3,7,4,1,3,18,1,0,17,1,2,24,0,8,22,2,2,1,0,0,16,14,12,11,23,14,4,2,3,3,1,0,5,9,1,3,0,2,3,5,4,0,5,1,19,19,21,4,6,59,2,14,33,7,21,48,26,58,33,30,6,1,4,2,15,0,5,28,0,5,12,2,18,68,59,0,35,39,11,4,0,29,5,60,0,1,11,4,4,7,38,7,2,0,29,9,8,1,8,6,21,5,3,21,0,1,2,19,0,32,51,14,30,1,40,33,51,7,0,2,4,3,8,32,0,14,11,14,4,18,24,17,43,9,57,48,5,45,0,20,1,2,1,1,2,7,21,1,9,13,36,21,0,23,17,6,69,0,47,7,12,10,0,36,7,1,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_1;
Otu0018,3,0,6,4,15,1,0,22,2,8,6,6,14,10,6,14,57,9,2,31,0,10,0,2,5,58,0,11,5,18,6,1,4,13,0,7,15,0,6,7,0,8,23,0,7,7,20,10,22,0,6,14,16,8,1,13,10,29,6,11,7,24,6,3,38,2,18,26,19,17,2,1,10,60,14,5,14,17,7,6,2,27,0,11,10,23,2,0,4,19,20,36,11,10,11,16,62,5,15,20,8,22,1,19,35,0,0,4,0,8,0,10,10,26,4,6,35,21,5,13,9,6,15,6,1,5,11,13,3,1,24,9,15,0,3,21,8,18,23,9,1,2,10,1,10,4,4,1,9,3,57,17,0,21,44,12,25,26,19,3,25,18,17,2,7,5,26,3,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-003;
Otu0019,5,3,0,2,9,20,5,10,15,3,0,15,6,2,28,18,5,27,2,5,1,47,4,7,25,16,6,5,1,24,0,33,1,13,12,20,11,1,5,9,35,14,44,9,7,0,41,11,7,2,43,16,8,3,3,2,12,6,22,6,2,5,1,0,3,0,7,4,21,10,7,3,32,7,12,3,0,26,8,7,10,7,0,5,4,8,6,3,12,21,20,26,0,5,28,12,0,13,3,23,35,8,1,6,4,3,21,74,17,2,4,1,6,7,16,26,17,5,9,3,4,8,21,11,0,5,13,3,13,18,11,8,8,11,5,9,14,4,25,0,2,6,38,3,1,13,5,2,7,10,1,16,10,1,3,0,22,0,2,6,0,6,5,12,14,4,31,2,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-008;
Otu0020,0,5,0,3,35,30,6,4,0,78,53,35,214,24,2,40,2,12,1,17,0,6,69,0,1,1,2,1,1,18,2,2,2,0,0,3,0,53,6,106,0,14,0,0,0,6,7,1,0,0,1,0,0,0,0,0,13,1,0,2,0,2,2,4,134,6,46,0,4,5,16,1,3,0,1,2,1,2,0,0,1,0,0,0,24,2,1,0,1,9,10,2,26,11,2,0,33,16,0,0,1,0,0,2,2,16,0,0,1,7,0,76,6,13,38,1,0,35,53,35,0,1,6,15,0,7,3,29,3,8,0,7,0,0,0,0,18,43,7,0,4,0,60,0,1,17,6,0,0,1,4,0,8,6,0,58,10,5,0,6,4,6,2,3,8,3,3,0,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;uncultured;
Otu0021,1,14,25,0,45,16,11,22,0,2,0,7,8,29,14,1,11,1,6,7,0,6,28,20,1,10,10,19,3,1,2,9,5,22,1,2,10,11,4,5,7,45,2,2,65,6,12,0,47,38,19,4,7,5,0,24,2,12,15,20,6,40,1,0,21,0,4,1,14,12,13,31,0,5,20,22,37,1,3,22,7,23,1,26,1,0,0,0,10,0,0,5,8,65,1,11,25,4,23,11,3,8,0,8,9,6,0,2,4,7,8,13,10,24,3,5,26,5,2,7,14,34,11,8,40,6,13,24,0,34,3,6,55,5,3,33,0,5,17,15,1,40,3,4,0,5,12,6,3,1,44,5,21,46,13,13,1,21,0,4,6,2,7,1,4,45,2,2,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_2;
Otu0022,0,29,60,0,31,16,0,34,8,62,0,0,79,26,0,7,0,3,8,0,0,6,6,0,1,0,6,11,49,5,8,2,8,7,0,0,4,5,0,31,3,23,0,0,1,4,9,1,65,1,1,38,3,66,0,0,11,5,0,0,4,11,2,0,0,7,0,0,15,16,2,1,10,49,2,0,48,0,3,7,2,2,132,0,30,23,0,0,1,0,1,0,25,17,0,2,0,4,0,0,0,24,0,0,0,0,0,0,1,0,2,23,0,0,23,6,9,0,8,7,6,21,0,5,5,4,2,31,0,0,0,2,1,0,2,3,0,5,5,9,6,26,5,2,3,5,0,51,0,0,4,0,1,30,0,0,46,0,0,3,3,12,67,0,13,17,14,95,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;
Otu0023,36,0,13,1,20,1,4,4,1,12,3,5,4,8,6,32,8,51,12,1,3,2,5,5,65,2,3,24,0,7,0,2,0,2,4,8,0,4,33,8,2,6,95,0,0,0,17,62,31,0,14,3,1,8,78,6,6,44,1,2,7,13,71,5,6,4,2,0,1,3,2,0,18,0,8,25,29,0,33,42,79,3,5,16,4,5,2,0,3,41,2,54,7,6,2,1,3,4,1,1,4,3,1,3,14,4,2,0,0,3,0,3,2,13,6,0,1,25,27,7,7,5,3,5,1,3,11,15,0,23,6,0,21,9,18,28,6,5,14,14,0,2,2,2,2,4,12,27,2,6,5,42,14,5,9,0,3,23,0,17,3,1,6,12,8,2,13,3,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-002;
Otu0024,0,0,13,42,16,3,5,26,1,6,2,16,9,14,2,14,10,5,8,30,8,18,32,2,17,32,14,14,12,38,36,10,1,10,0,7,2,2,5,8,4,7,11,0,8,8,8,2,20,1,9,17,1,8,3,26,22,2,0,9,4,27,6,4,5,1,4,9,20,9,0,2,0,11,5,12,8,3,4,2,9,2,2,19,7,16,0,8,37,16,10,11,0,23,10,16,23,0,17,5,10,10,0,17,24,0,0,0,1,2,0,4,4,16,9,5,4,14,11,32,5,4,3,13,7,3,3,16,0,21,1,0,14,8,11,8,21,24,15,8,2,6,10,1,7,4,6,6,10,0,11,2,15,15,32,2,27,10,5,1,2,1,13,8,19,7,11,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;
Otu0025,0,0,27,1,7,10,0,6,3,120,8,1,20,5,0,5,1,2,0,11,0,0,2,6,3,0,1,1,11,6,3,5,4,1,0,0,0,0,0,4,0,116,0,0,0,0,0,0,120,0,2,2,7,2,0,4,1,0,0,8,27,10,0,0,5,1,2,8,0,24,0,95,0,1,0,1,60,1,36,2,0,6,7,4,0,14,1,0,2,4,1,0,0,5,1,0,3,0,0,8,0,5,0,3,1,0,0,21,0,7,0,5,1,2,6,0,11,0,2,3,0,3,2,0,1,9,0,27,0,0,2,0,6,0,6,0,0,4,0,0,1,2,1,184,1,1,1,174,1,0,25,0,0,21,0,20,1,7,3,0,29,8,61,1,1,2,0,28,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;
Otu0026,9,0,0,0,1,5,0,0,56,4,4,0,0,0,5,2,1,95,0,4,18,16,0,8,1,0,2,4,1,6,0,6,9,4,2,51,1,0,59,3,1,1,0,3,0,8,2,4,0,0,10,4,6,0,1,0,22,5,8,2,7,5,1,4,1,1,6,4,4,0,10,5,31,0,1,5,4,0,4,160,0,3,1,0,0,0,2,7,0,16,6,9,4,0,6,10,0,8,2,29,11,0,7,5,0,0,7,1,9,0,0,2,3,0,13,15,3,0,16,0,2,0,0,3,0,0,8,1,0,0,0,241,0,3,1,13,0,1,13,1,6,0,5,0,5,7,0,0,0,2,0,2,32,0,0,0,0,0,1,11,2,37,4,18,5,0,4,3,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_ge;
Otu0027,13,7,1,0,2,16,0,0,0,26,0,3,4,0,1,3,2,1,2,2,3,0,0,0,12,6,0,6,13,4,0,0,5,2,0,1,39,3,7,0,1,6,2,0,11,65,1,3,1,68,8,42,1,6,3,0,3,12,3,2,83,0,1,3,1,0,12,2,9,10,26,100,1,25,2,1,3,0,6,9,0,46,0,0,3,0,0,0,1,0,0,1,0,6,0,0,1,1,11,3,0,3,0,8,0,1,0,8,4,0,4,73,1,11,27,1,5,1,3,0,6,2,6,31,12,0,3,0,0,25,0,2,1,0,30,0,0,0,0,28,0,35,3,1,0,0,0,2,1,0,6,0,1,29,0,4,0,1,4,0,30,13,41,4,0,6,0,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;
Otu0028,0,44,0,5,1,13,2,21,3,1,3,2,4,10,2,3,9,2,3,3,0,12,13,0,31,1,1,1,1,10,7,0,27,2,0,0,4,30,8,6,0,1,1,3,3,66,6,0,2,1,2,67,8,18,2,2,0,24,1,10,2,1,4,14,4,12,12,8,8,32,4,0,0,0,8,6,5,1,1,6,4,5,0,0,3,0,3,0,10,0,7,6,1,6,2,7,0,9,3,1,0,4,0,2,13,7,0,0,5,0,14,12,0,5,5,8,0,8,6,7,13,6,19,0,4,10,7,2,0,4,0,13,7,5,4,3,6,5,18,2,17,30,15,1,62,6,37,0,0,0,1,1,2,12,0,1,1,3,0,0,4,2,6,5,18,11,6,1,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonellaceae_unclassified;
Otu0029,2,16,0,1,11,24,4,0,5,13,0,0,13,0,65,4,2,18,2,3,5,3,5,8,2,11,17,0,9,5,0,12,4,15,3,1,2,21,2,0,2,2,3,5,4,1,24,4,14,6,9,14,11,2,3,4,4,3,3,1,1,1,16,3,2,0,2,1,25,2,16,2,28,3,9,8,3,19,0,7,2,8,0,0,8,0,0,3,2,3,11,11,1,3,53,11,31,8,9,8,26,1,0,0,4,1,4,2,0,12,5,11,7,12,30,4,7,8,3,3,3,37,6,0,5,4,1,5,0,4,0,0,1,3,4,0,2,0,9,8,3,9,21,0,10,6,27,2,0,0,7,14,2,1,25,10,6,19,3,2,2,11,3,0,10,5,2,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_2;
Otu0030,2,0,1,49,6,0,3,48,0,14,95,1,3,34,4,9,15,6,3,21,0,6,2,8,5,29,1,3,0,18,7,1,1,3,0,1,0,0,0,7,0,1,4,0,10,5,9,4,5,6,4,7,1,19,1,27,9,1,0,20,0,10,5,0,5,1,0,13,2,12,0,5,5,17,15,7,7,15,7,3,3,5,28,1,0,20,0,4,29,2,1,2,3,12,4,9,25,0,17,1,2,12,0,1,3,0,0,0,0,0,0,15,6,4,1,0,9,0,12,14,7,2,16,9,10,0,4,81,0,10,14,2,3,1,6,19,3,31,2,29,0,2,5,0,0,1,2,4,0,1,20,12,1,3,13,7,0,17,2,4,26,3,7,18,1,12,11,4,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_unclassified;
Otu0031,16,5,1,23,2,15,1,1,2,2,5,13,4,1,0,5,6,2,4,14,2,4,0,3,8,1,0,8,17,7,0,5,16,4,2,10,5,4,9,1,5,5,0,1,9,17,2,13,3,12,12,5,8,1,3,1,6,0,6,22,1,0,0,16,7,1,10,50,5,12,8,0,1,1,4,3,2,1,4,1,1,3,0,12,14,0,1,0,4,1,12,1,3,3,3,13,4,6,54,8,10,27,1,11,4,5,9,1,6,6,3,6,8,13,11,4,8,0,3,0,18,30,6,19,16,8,1,0,2,4,0,3,3,0,9,0,0,4,8,5,8,1,17,0,0,3,3,0,1,0,9,4,7,7,2,8,6,1,0,6,4,2,2,2,2,2,4,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;uncultured;
